Producto,Modelo_SKU,UPC_EAN,Precio_Oferta,Precio_Regular,Stock,Procesador,RAM,Almacenamiento,Pantalla,Grafica,OS,Enlace,Imagen
Sin Nombre,GY51L15688,N/I,N/A,N/A,En stock,N/I,N/I,N/I,N/I,N/I,Detalles del producto,https://portatilchile.com/accesorios/2753-ratón-inalámbrico-compacto-lenovo-300-azul-escarcha-sin-batería.html,
Sin Nombre,GY51L15688,N/I,N/A,N/A,En stock,N/I,N/I,N/I,N/I,N/I,Detalles del producto,https://portatilchile.com/accesorios/2756-mouse-inalámbrico-compacto-thinkpad-essential-sin-batería.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,GX40Q17226,N/I,N/A,N/A,En stock,N/I,N/I,N/I,N/I,N/I,N/I,https://portatilchile.com/accesorios/2755-mochila-lenovo-para-laptops-de-156-b210-black-.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,GX40Q17226,N/I,N/A,N/A,En stock,N/I,N/I,N/I,N/I,N/I,N/I,https://portatilchile.com/accesorios/2754-mochila-lenovo-para-laptops-de-156-b210-blue.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,M2753DKB,N/I,N/A,N/A,En stock,N/I,N/I,N/I,Altavoces + Flicker-Free,N/I,N/I,https://portatilchile.com/accesorios/2815-gear-monitor-27-full-hd-panel-ips-120hz.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,6935768751373,6935768751373,N/A,$ 229.990,En stock,$ 189.990,Chuwi HeroBook Air – Descripción de Producto,📷 Galería,Celeron N4020,"Pantalla 11.6"" IPS HD (1366x768) — sin táctil","11.6"" FHD IPS",https://portatilchile.com/notebooks/2822-notebook-chuwi-herobookair.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,197105877924,197105877924,N/A,$ 289.990,Últimas unidades en stock,Últimas unidades en stock,Detalles del producto,128GB SSD,"14""",Compartido,Windows 11,https://portatilchile.com/oulet/2811-notebook-asus-vivobook-go-14.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,6935768751410,6935768751410,N/A,$ 299.990,En stock,$ 249.990,Chuwi HeroBook Pro – Descripción de Producto,📷 Galería,"🖥 14.1"" FHD IPS","Pantalla 14.1"" FHD (1920×1080) IPS — sin táctil","14.1"" FHD IPS",https://portatilchile.com/notebooks/2821-notebook-chuwi-herobookpro.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,6935768755715,6935768755715,N/A,$ 349.990,En stock,$ 299.990,Chuwi FreeBook – Descripción de Producto,📷 Galería,🔄 Convertible 360° Táctil,"Pantalla 13.5"" IPS 2256×1504 · formato 3:2 · Táctil multi-punto · Bisagra 360°","13.5"" IPS Táctil 360°",https://portatilchile.com/notebooks/2823-notebook-chuwi-freebook.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,AL15-36P-32XP,iones,N/A,$ 599.990,Últimas unidades en stock,Últimas unidades en stock,Acer Aspire Lite AL15-36P-32XP – Descripción de Producto,⚡ Características destacadas,"✅ Equipo Nuevo — Equipo nuevo con 12 meses de garantia · Pantalla FHD 15.6""","Sistema Operativo Windows 11 (en inglés, configurable en español)",Conectividad WiFi + Bluetooth,https://portatilchile.com/notebooks/2796-notebook-acer-aspire-lite-al15-36p-32xp.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,198155745768,198155745768,N/A,$ 519.990,En stock,$ 449.990,Lenovo IdeaPad Slim 3i 82XB00BMUS – Descripción de Producto,📷 Galería,Core i3 N305 · 8C,"Pantalla 15.6"" FHD (1920×1080) Anti-Glare — sin táctil","15.6"" FHD Anti-Glare",https://portatilchile.com/notebooks/2818-notebook-lenovo-ideapad-slim-3i-82xb00bmus.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,884116669883,884116669883,N/A,$ 549.990,En stock,$ 499.990,Dell 15 DC15250 – Descripción de Producto,📷 Galería,⚡ Intel Core 3-100U,"Pantalla 15.6"" FHD (1920×1080) Anti-Glare — sin táctil","15.6"" FHD Anti-Glare",https://portatilchile.com/notebooks/2817-notebook-dell-15-dc15250.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,810142509350,Open,N/A,$ 799.990,En stock,$ 499.990,HP OmniBook 3 16-BZ0010 Open Box – Descripción de Producto,HDMI 2.1,⚡ Snapdragon X,Compartido,"16"" OLED 2K Sin táctil",https://portatilchile.com/oulet/2806-notebook-hp-omnibook-3-16-bz0010.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,670237810293,670237810293,N/A,$ 769.990,En stock,$ 499.990,Dell Latitude 5420 32GB – Descripción de Producto,📷 Galería,Core i5 1145G7,"Pantalla 14"" FHD (1920×1080) Anti-Glare, IPS — sin táctil","14"" FHD Sin táctil",https://portatilchile.com/oulet/2805-notebook-dell-latitude-5420-32gb.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,DC15255-A407BLK-PUS,iones,N/A,$ 729.990,En stock,$ 529.990,Dell Inspiron 15 DC15255-A407BLK-PUS – Descripción de Producto,⚡ Características destacadas,✅ Equipo nuevo con 12 meses de garantía · Pantalla Táctil FHD · AMD Ryzen™ 5,"Sistema Operativo Windows 11 (en inglés, configurable en español)",Conectividad WiFi + Bluetooth,https://portatilchile.com/notebooks/2795-notebook-dell-15255-a407blk-pus.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,198990520780,198990520780,N/A,$ 729.990,Últimas unidades en stock,Últimas unidades en stock,HP 15-FD0150WM – Descripción de Producto,⚡ Características destacadas,"15"" Táctil. Core i5. Todo incluido.","Sistema Operativo Windows 11 (en inglés, configurable en español)",Conectividad WiFi + Bluetooth,https://portatilchile.com/notebooks/2728-hp-15-fd0150wm.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,682683641598,682683641598,N/A,$ 799.990,En stock,$ 569.990,Dell Latitude 5320 – Descripción de Producto,⚡ Características destacadas,"🔧 Equipo Reacondicionado Certificado — Laptop empresarial Dell 13"" con Core i7","Sistema Operativo Windows 11 Pro (en inglés, configurable en español)",Conectividad WiFi 6 (802.11ax) + Bluetooth 5.1 + Ethernet RJ-45,https://portatilchile.com/especial-2-1/2797-notebook-dell-latitude-5320.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,198122153350,198122153350,N/A,$ 599.990,En stock,$ 579.990,HP 15-FD1085CL – Descripción de Producto,⚡ Características destacadas,"15"" Táctil. Core 5. 12 GB RAM.","Sistema Operativo Windows 11 (en inglés, configurable en español)",Conectividad WiFi + Bluetooth,https://portatilchile.com/notebooks/2701-hp-15-fd1085cl.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,884116430506,884116430506,N/A,$ 789.990,En stock,$ 589.990,Dell 16 16251-5506SLV – Descripción de Producto,⚡ Características destacadas,"Pantalla 16"". Core 5. Diseño plateado.","Sistema Operativo Windows 11 (en inglés, configurable en español)",Conectividad WiFi + Bluetooth,https://portatilchile.com/notebooks/2777-notebook-dell-16-16251-5506slv.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,609895056460,609895056460,N/A,$ 799.990,En stock,$ 599.990,Dell Latitude 7420 – Descripción de Producto,⚡ Características destacadas,🔧 Equipo Reacondicionado Certificado — Laptop empresarial Dell a precio accesible,"Sistema Operativo Windows 11 Pro (en inglés, configurable en español)",Conectividad WiFi 6 (802.11ax) + Bluetooth 5.1,https://portatilchile.com/oulet/2804-notebook-dell-latitude-7420.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,199764338266,199764338266,N/A,$ 849.990,En stock,$ 599.990,HP OmniBook 3 – Descripción de Producto,⚡ Características destacadas,"16"" 2K OLED","Sistema Operativo Windows 11 Home — Copilot+ PC (en inglés, configurable en español)",Conectividad WiFi + Bluetooth integrados,https://portatilchile.com/notebooks/2794-notebook-hp-omnibook-3-16-bz0010wm.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,195133236508,iones,N/A,$ 819.990,Últimas unidades en stock,Últimas unidades en stock,Acer Aspire 3 A315-24PT-R288 – Descripción de Producto,🎁 Incluye Funda de Regalo + Pantalla Táctil FHD + 1 TB SSD,Funda protectora incluida sin costo adicional · Pantalla táctil multi-punto · 1 TB de almacenamiento para todos tus archivos · Equipo nuevo con garantía Acer 12 meses,"Sistema Operativo Windows 11 (en inglés, configurable en español)",Conectividad WiFi + Bluetooth,https://portatilchile.com/notebooks/2778-notebook-acer-aspire-3-a315-24pt-r288.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,195891978160,195891978160,N/A,$ 699.990,Últimas unidades en stock,Últimas unidades en stock,Lenovo IdeaPad 3 – Descripción de Producto,⚡ Características destacadas,✅ Equipo Nuevo · Garantía oficial Lenovo 12 meses · AMD Ryzen™ 5 + 16 GB DDR5,"Sistema Operativo Windows 11 (en inglés, configurable en español)",Conectividad WiFi 6 (802.11ax) + Bluetooth 5.1,https://portatilchile.com/notebooks/2761-notebook-lenovo-ideapad-3.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,82TTA08AIN,197532735163,N/A,$ 699.990,En stock,$ 649.990,Lenovo V15 G3 – Descripción de Producto,⚡ Características destacadas,⌨️ Teclado con Numpad + Puerto RJ-45 Ethernet + Core i7 12ª Gen,"Sistema Operativo Windows 11 (en inglés, configurable en español)",Conectividad WiFi + Bluetooth + Ethernet RJ-45,https://portatilchile.com/notebooks/2724-lenovo-v15-g3.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,199274082642,199274082642,N/A,$ 859.990,En stock,$ 659.990,Lenovo V15 Gen 4 – Descripción de Producto,⚡ Características destacadas,"AMD Ryzen™ 5 7520U, 16 GB DDR5, 512 GB SSD y pantalla FHD de 15.6"". Con puerto Ethernet RJ-45 y Windows 11 Pro incluido — ideal para trabajo en oficina y uso profesional.","Sistema Operativo Windows 11 Pro (en inglés, configurable en español)","Pantalla FHD 15.6"" Anti-Glare",https://portatilchile.com/notebooks/2780-notebook-lenovo-v15-gen-4.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,X1404V,197105876187,N/A,$ 779.990,En stock,$ 659.990,ASUS Vivobook 14 X1404V – Descripción de Producto,⚡ Características destacadas,✅ Equipo nuevo con 12 meses de garantía · Core™ i7 13ª Gen · Teclado Retroiluminado,"Sistema Operativo Windows 11 (en inglés, configurable en español)",Conectividad WiFi 6 (802.11ax) + Bluetooth 5.0,https://portatilchile.com/notebooks/2685-asus-vivobook-14-x1404v.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,195133279932,iones,N/A,$ 929.990,En stock,$ 769.990,Click aqui,Hasta 22 horas Duración de la batería,DisplayHDR™ True Black 500 Certificado,Compartido,Conectividad WiFi 6E (802.11ax) + Bluetooth 5.4,https://portatilchile.com/notebooks/2766-notebook-acer-aspire-14-ai.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,15-FE1082WM,197961931792,N/A,$ 949.990,Últimas unidades en stock,Últimas unidades en stock,HP ENVY x360 2-en-1 15-FE1082WM – Descripción de Producto,⚡ Características destacadas,"🔄 2-en-1 con bisagra 360° — Laptop, Tablet, Tienda de campaña y Presentación","Sistema Operativo Windows 11 (en inglés, configurable en español)",Conectividad WiFi 6E (802.11ax) + Bluetooth 5.3,https://portatilchile.com/especial-2-1/2699-hp-envy-x360-2-1-15-fe1082wm.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,810142509356,A1MTG,N/A,$ 1.179.990,Últimas unidades en stock,Últimas unidades en stock,MSI Summit E13 AI Evo A1MTG-001US – Descripción de Producto,✦ Características destacadas,⚡ Core Ultra 7-155H,Compartido,"13.3"" FHD+ Táctil 360°",https://portatilchile.com/especial-2-1/2800-notebook-msi-laptop-summit-a1mtg-001us.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,197105808072,197105808072,N/A,$ 1.139.990,En stock,$ 999.990,ASUS VivoBook 16 F1605VA-WS96 – Descripción de Producto,📷 Galería,⚡ Core i9-13900H · 20 núcleos,"Pantalla 16"" FHD+ (1920×1200) · formato 16:10 · Anti-Glare · sin táctil","16"" FHD+ 1920×1200",https://portatilchile.com/notebooks/2819-notebook-asus-vivobook-16-f1605va-ws96.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
Sin Nombre,B12VE-2023US,824142364277,N/A,$ 1.399.990,Últimas unidades en stock,Últimas unidades en stock,MSI Thin 15 B12VE-2023US – Gaming,HDMI 2.0b,⚡ Core i7-12650H,"Pantalla 15.6"" FHD (1920×1080) IPS, 144Hz, anti-glare","15.6"" FHD 144Hz",https://portatilchile.com/notebooks/2631-msi-thin-15-b12ve-2023us.html,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 452 584'%3E%3C/svg%3E"
